                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2771,                0.61572,                0.90338,                0.71072,                0.61036,                0.60762,                 0.3509,                 1.2365,                0.53398,                0.91675,              0.0033321,              0.0033321,              0.0033321
                      2,                  1.222,                0.54808,                0.89026,                0.72917,                0.60402,                0.62143,                0.35893,                 1.2172,                  0.538,                0.91502,              0.0063355,              0.0063355,              0.0063355
                      3,                 1.2146,                0.54324,                0.88977,                0.70297,                0.60962,                0.61049,                0.35531,                 1.2111,                0.53821,                0.91214,              0.0090089,              0.0090089,              0.0090089
                      4,                 1.1907,                0.53173,                0.88488,                0.72764,                0.60934,                0.61581,                0.35815,                 1.2058,                0.51907,                0.91015,               0.008515,               0.008515,               0.008515
                      5,                 1.1522,                 0.5115,                0.87701,                 0.7221,                 0.6176,                 0.6219,                0.36587,                 1.1899,                 0.5103,                0.90405,               0.008515,               0.008515,               0.008515
                      6,                 1.1194,                0.49284,                0.87102,                0.70899,                0.62289,                0.62304,                0.36785,                 1.1789,                0.49718,                0.90116,                0.00802,                0.00802,                0.00802
                      7,                 1.0889,                 0.4776,                0.86497,                0.70784,                0.62323,                0.62653,                0.36791,                 1.1933,                0.48469,                0.90427,               0.007525,               0.007525,               0.007525
                      8,                 1.0676,                  0.466,                0.86159,                0.71819,                0.62198,                0.62995,                0.37087,                   1.19,                0.48074,                0.90397,                0.00703,                0.00703,                0.00703
                      9,                 1.0439,                0.45477,                0.85723,                0.70423,                0.62892,                0.62702,                0.36979,                 1.1846,                0.47314,                0.90159,               0.006535,               0.006535,               0.006535
                     10,                 1.0227,                0.44466,                0.85388,                0.71339,                 0.6246,                0.63271,                0.37428,                 1.1838,                0.47224,                0.90149,                0.00604,                0.00604,                0.00604
                     11,                 1.0067,                0.43515,                 0.8611,                 0.6978,                0.63296,                0.62906,                0.37269,                 1.1865,                0.47491,                0.90167,               0.005545,               0.005545,               0.005545
                     12,                0.98475,                0.42532,                0.85738,                 0.7095,                0.63661,                0.63747,                0.37771,                 1.1833,                0.46858,                0.90163,                0.00505,                0.00505,                0.00505
                     13,                0.96286,                0.41465,                0.85247,                0.70731,                0.63711,                0.63822,                0.37744,                  1.192,                0.46739,                0.90296,               0.004555,               0.004555,               0.004555
                     14,                0.94047,                0.40457,                0.84802,                0.70779,                0.63792,                0.63827,                0.37675,                 1.1954,                0.46514,                0.90437,                0.00406,                0.00406,                0.00406
                     15,                0.91899,                0.39613,                0.84454,                0.70496,                0.63633,                0.63723,                0.37749,                 1.2021,                  0.464,                0.90575,               0.003565,               0.003565,               0.003565
                     16,                0.89567,                0.38506,                0.83967,                 0.7099,                 0.6357,                 0.6379,                0.37751,                 1.2053,                0.46295,                0.90751,                0.00307,                0.00307,                0.00307
                     17,                0.87302,                0.37475,                0.83658,                0.70307,                0.63799,                 0.6367,                 0.3782,                 1.2059,                 0.4613,                0.90821,               0.002575,               0.002575,               0.002575
                     18,                0.84787,                0.36354,                0.83124,                0.70503,                0.63689,                0.63745,                0.37835,                 1.2102,                0.46133,                0.90965,                0.00208,                0.00208,                0.00208
                     19,                0.82214,                 0.3531,                0.82748,                0.70682,                0.63539,                 0.6381,                0.37829,                 1.2138,                0.46201,                0.91081,               0.001585,               0.001585,               0.001585
                     20,                0.79813,                0.34231,                0.82397,                0.70762,                0.63485,                0.63755,                0.37784,                 1.2182,                0.46253,                0.91247,                0.00109,                0.00109,                0.00109
