Passer (id),Receiver (id),Start Time (s),Duration (s),End Time (s)
16,24,2.28,2.1200000000000006,4.4
24,20,4.92,2.6399999999999997,7.56
25,46,23.8,1.0799999999999983,24.88
46,61,25.8,2.5599999999999987,28.36
61,62,28.52,2.960000000000001,31.48
62,59,32.96,2.1599999999999966,35.12
59,69,35.16,2.8800000000000026,38.04
69,59,38.08,1.8800000000000026,39.96
59,71,40.52,1.5599999999999952,42.08
71,62,42.44,3.5600000000000023,46.0
62,90,52.48,0.4000000000000057,52.88
90,71,52.48,17.119999999999997,69.6
71,117,71.64,1.7600000000000051,73.4
117,116,80.16,0.4399999999999977,80.6
116,131,83.0,0.7199999999999989,83.72
131,99,84.16,1.6000000000000085,85.76
99,142,87.2,0.5999999999999943,87.8
145,156,95.64,0.5600000000000023,96.2
156,158,96.52,1.4000000000000057,97.92
158,148,100.52,0.5600000000000023,101.08
148,146,100.52,0.960000000000008,101.48
173,182,110.44,2.200000000000003,112.64
182,158,113.2,1.4399999999999977,114.64
158,189,115.16,1.4000000000000057,116.56
189,182,116.64,1.4399999999999977,118.08
177,176,119.44,12.640000000000015,132.08
176,177,132.36,2.039999999999992,134.4
177,218,134.52,1.2800000000000011,135.8
196,224,138.52,0.4399999999999977,138.96
224,220,138.52,3.319999999999993,141.84
220,236,143.4,6.319999999999993,149.72
235,300,167.04,14.080000000000013,181.12
293,296,189.64,1.200000000000017,190.84
296,324,191.28,1.0,192.28
